v07_amplitude, 61.166067736023344
v07_center, 1650.6122943302964
v07_sigma, 23.51212769705206
v07_gamma, 5.5
v06_amplitude, 7.28457711516013
v06_center, 1679.4625984459653
v06_sigma, 8.16531840608888
v06_gamma, 10
v05_amplitude, 21.159821469232625
v05_center, 1544.8691784397724
v05_sigma, 16.38691961073363
v05_gamma, 6.75
v04_amplitude, 30.60251340801799
v04_center, 1596.5816526471322
v04_sigma, 27.45961014139538
v04_gamma, 5.75
v02_amplitude, 4.460087316628848
v02_center, 1517.8400587064605
v02_sigma, 7.567772347085904
v02_gamma, 6.25
v01_amplitude, 3.3255089575824517
v01_center, 1692.4106585158945
v01_sigma, 1.0000254074334953
v01_gamma, 11
